"","regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos","interior/metropolitana"
"2501","Sudeste","MG","Coronel Xavier Chaves",31,NA,NA,NA,2021-05-11,19,3434,201,0,4,0,NA,NA,FALSE
"2502","Sudeste","MG","Córrego Danta",31,NA,NA,NA,2021-05-11,19,3215,133,0,4,0,NA,NA,FALSE
"2503","Sudeste","MG","Córrego do Bom Jesus",31,NA,NA,NA,2021-05-11,19,3704,317,4,7,0,NA,NA,FALSE
"2504","Sudeste","MG","Córrego Fundo",31,NA,NA,NA,2021-05-11,19,6337,463,2,5,0,NA,NA,FALSE
"2505","Sudeste","MG","Córrego Novo",31,NA,NA,NA,2021-05-11,19,2771,235,0,10,0,NA,NA,FALSE
"2506","Sudeste","MG","Couto de Magalhães de Minas",31,NA,NA,NA,2021-05-11,19,4410,70,0,2,0,NA,NA,FALSE
"2507","Sudeste","MG","Crisólita",31,NA,NA,NA,2021-05-11,19,6704,168,1,3,0,NA,NA,FALSE
"2508","Sudeste","MG","Cristais",31,NA,NA,NA,2021-05-11,19,12798,706,9,15,0,NA,NA,FALSE
"2509","Sudeste","MG","Cristália",31,NA,NA,NA,2021-05-11,19,5971,169,1,1,0,NA,NA,FALSE
"2510","Sudeste","MG","Cristiano Otoni",31,NA,NA,NA,2021-05-11,19,5150,351,0,11,0,NA,NA,FALSE
"2511","Sudeste","MG","Cristina",31,NA,NA,NA,2021-05-11,19,10242,361,1,5,0,NA,NA,FALSE
"2512","Sudeste","MG","Crucilândia",31,NA,NA,NA,2021-05-11,19,5034,238,0,3,0,NA,NA,FALSE
"2513","Sudeste","MG","Cruzeiro da Fortaleza",31,NA,NA,NA,2021-05-11,19,3626,192,0,6,0,NA,NA,FALSE
"2514","Sudeste","MG","Cruzília",31,NA,NA,NA,2021-05-11,19,15417,749,34,18,0,NA,NA,FALSE
"2515","Sudeste","MG","Cuparaque",31,NA,NA,NA,2021-05-11,19,4982,382,13,5,0,NA,NA,FALSE
"2516","Sudeste","MG","Curral de Dentro",31,NA,NA,NA,2021-05-11,19,7729,493,0,9,0,NA,NA,FALSE
"2517","Sudeste","MG","Curvelo",31,NA,NA,NA,2021-05-11,19,80129,3792,7,190,1,NA,NA,FALSE
"2518","Sudeste","MG","Datas",31,NA,NA,NA,2021-05-11,19,5410,315,1,10,0,NA,NA,FALSE
"2519","Sudeste","MG","Delfim Moreira",31,NA,NA,NA,2021-05-11,19,8025,376,2,19,0,NA,NA,FALSE
"2520","Sudeste","MG","Delfinópolis",31,NA,NA,NA,2021-05-11,19,7114,172,1,3,0,NA,NA,FALSE
"2521","Sudeste","MG","Delta",31,NA,NA,NA,2021-05-11,19,10533,872,0,20,0,NA,NA,FALSE
"2522","Sudeste","MG","Descoberto",31,NA,NA,NA,2021-05-11,19,5013,361,0,5,0,NA,NA,FALSE
"2523","Sudeste","MG","Desterro de Entre Rios",31,NA,NA,NA,2021-05-11,19,7243,278,1,8,0,NA,NA,FALSE
"2524","Sudeste","MG","Desterro do Melo",31,NA,NA,NA,2021-05-11,19,2901,95,0,1,0,NA,NA,FALSE
"2525","Sudeste","MG","Diamantina",31,NA,NA,NA,2021-05-11,19,47723,2001,32,24,0,NA,NA,FALSE
"2526","Sudeste","MG","Diogo de Vasconcelos",31,NA,NA,NA,2021-05-11,19,3802,91,0,0,0,NA,NA,FALSE
"2527","Sudeste","MG","Dionísio",31,NA,NA,NA,2021-05-11,19,7729,317,1,10,0,NA,NA,FALSE
"2528","Sudeste","MG","Divinésia",31,NA,NA,NA,2021-05-11,19,3417,229,4,8,0,NA,NA,FALSE
"2529","Sudeste","MG","Divino",31,NA,NA,NA,2021-05-11,19,19931,1046,9,23,0,NA,NA,FALSE
"2530","Sudeste","MG","Divino das Laranjeiras",31,NA,NA,NA,2021-05-11,19,4979,270,1,7,0,NA,NA,FALSE
"2531","Sudeste","MG","Divinolândia de Minas",31,NA,NA,NA,2021-05-11,19,7571,229,0,6,0,NA,NA,FALSE
"2532","Sudeste","MG","Divinópolis",31,NA,NA,NA,2021-05-11,19,238230,11836,112,359,0,NA,NA,FALSE
"2533","Sudeste","MG","Divisa Alegre",31,NA,NA,NA,2021-05-11,19,6786,259,0,8,0,NA,NA,FALSE
"2534","Sudeste","MG","Divisa Nova",31,NA,NA,NA,2021-05-11,19,6011,394,1,11,1,NA,NA,FALSE
"2535","Sudeste","MG","Divisópolis",31,NA,NA,NA,2021-05-11,19,11019,340,0,5,0,NA,NA,FALSE
"2536","Sudeste","MG","Dom Bosco",31,NA,NA,NA,2021-05-11,19,3677,215,4,7,0,NA,NA,FALSE
"2537","Sudeste","MG","Dom Cavati",31,NA,NA,NA,2021-05-11,19,5072,443,1,15,0,NA,NA,FALSE
"2538","Sudeste","MG","Dom Joaquim",31,NA,NA,NA,2021-05-11,19,4195,553,0,4,0,NA,NA,FALSE
"2539","Sudeste","MG","Dom Silvério",31,NA,NA,NA,2021-05-11,19,5237,328,0,12,0,NA,NA,FALSE
"2540","Sudeste","MG","Dom Viçoso",31,NA,NA,NA,2021-05-11,19,3001,143,0,2,0,NA,NA,FALSE
"2541","Sudeste","MG","Dona Euzébia",31,NA,NA,NA,2021-05-11,19,6572,683,0,7,0,NA,NA,FALSE
"2542","Sudeste","MG","Dores de Campos",31,NA,NA,NA,2021-05-11,19,10153,958,8,27,1,NA,NA,FALSE
"2543","Sudeste","MG","Dores de Guanhães",31,NA,NA,NA,2021-05-11,19,5169,216,0,7,0,NA,NA,FALSE
"2544","Sudeste","MG","Dores do Indaiá",31,NA,NA,NA,2021-05-11,19,13483,786,16,12,0,NA,NA,FALSE
"2545","Sudeste","MG","Dores do Turvo",31,NA,NA,NA,2021-05-11,19,4259,146,0,5,0,NA,NA,FALSE
"2546","Sudeste","MG","Doresópolis",31,NA,NA,NA,2021-05-11,19,1527,93,0,1,0,NA,NA,FALSE
"2547","Sudeste","MG","Douradoquara",31,NA,NA,NA,2021-05-11,19,1908,71,1,2,0,NA,NA,FALSE
"2548","Sudeste","MG","Durandé",31,NA,NA,NA,2021-05-11,19,7841,879,0,5,0,NA,NA,FALSE
"2549","Sudeste","MG","Elói Mendes",31,NA,NA,NA,2021-05-11,19,28076,1350,15,21,0,NA,NA,FALSE
"2550","Sudeste","MG","Engenheiro Caldas",31,NA,NA,NA,2021-05-11,19,11134,650,0,25,0,NA,NA,FALSE
"2551","Sudeste","MG","Engenheiro Navarro",31,NA,NA,NA,2021-05-11,19,7242,184,0,5,0,NA,NA,FALSE
"2552","Sudeste","MG","Entre Folhas",31,NA,NA,NA,2021-05-11,19,5370,336,0,8,0,NA,NA,FALSE
"2553","Sudeste","MG","Entre Rios de Minas",31,NA,NA,NA,2021-05-11,19,15298,554,6,11,0,NA,NA,FALSE
"2554","Sudeste","MG","Ervália",31,NA,NA,NA,2021-05-11,19,18895,1103,10,23,0,NA,NA,FALSE
"2555","Sudeste","MG","Esmeraldas",31,NA,NA,NA,2021-05-11,19,70552,1963,5,96,0,NA,NA,TRUE
"2556","Sudeste","MG","Espera Feliz",31,NA,NA,NA,2021-05-11,19,24951,2043,0,28,0,NA,NA,FALSE
"2557","Sudeste","MG","Espinosa",31,NA,NA,NA,2021-05-11,19,31617,1171,0,28,0,NA,NA,FALSE
"2558","Sudeste","MG","Espírito Santo do Dourado",31,NA,NA,NA,2021-05-11,19,4692,299,0,14,0,NA,NA,FALSE
"2559","Sudeste","MG","Estiva",31,NA,NA,NA,2021-05-11,19,11354,696,4,17,0,NA,NA,FALSE
"2560","Sudeste","MG","Estrela Dalva",31,NA,NA,NA,2021-05-11,19,2343,115,1,7,0,NA,NA,FALSE
"2561","Sudeste","MG","Estrela do Indaiá",31,NA,NA,NA,2021-05-11,19,3500,40,0,0,0,NA,NA,FALSE
"2562","Sudeste","MG","Estrela do Sul",31,NA,NA,NA,2021-05-11,19,7978,383,0,10,0,NA,NA,FALSE
"2563","Sudeste","MG","Eugenópolis",31,NA,NA,NA,2021-05-11,19,11275,775,0,12,0,NA,NA,FALSE
"2564","Sudeste","MG","Ewbank da Câmara",31,NA,NA,NA,2021-05-11,19,3913,250,0,3,0,NA,NA,FALSE
"2565","Sudeste","MG","Extrema",31,NA,NA,NA,2021-05-11,19,36225,7213,0,104,1,NA,NA,FALSE
"2566","Sudeste","MG","Fama",31,NA,NA,NA,2021-05-11,19,2377,71,0,0,0,NA,NA,FALSE
"2567","Sudeste","MG","Faria Lemos",31,NA,NA,NA,2021-05-11,19,3241,148,0,4,0,NA,NA,FALSE
"2568","Sudeste","MG","Felício dos Santos",31,NA,NA,NA,2021-05-11,19,4753,84,0,2,0,NA,NA,FALSE
"2569","Sudeste","MG","São Gonçalo do Rio Preto",31,NA,NA,NA,2021-05-11,19,3167,146,0,3,0,NA,NA,FALSE
"2570","Sudeste","MG","Felisburgo",31,NA,NA,NA,2021-05-11,19,7457,427,1,12,0,NA,NA,FALSE
"2571","Sudeste","MG","Felixlândia",31,NA,NA,NA,2021-05-11,19,15336,746,10,15,0,NA,NA,FALSE
"2572","Sudeste","MG","Fernandes Tourinho",31,NA,NA,NA,2021-05-11,19,3431,109,0,11,0,NA,NA,FALSE
"2573","Sudeste","MG","Ferros",31,NA,NA,NA,2021-05-11,19,9820,368,5,9,0,NA,NA,FALSE
"2574","Sudeste","MG","Fervedouro",31,NA,NA,NA,2021-05-11,19,11006,815,0,14,0,NA,NA,FALSE
"2575","Sudeste","MG","Florestal",31,NA,NA,NA,2021-05-11,19,7461,263,0,9,0,NA,NA,TRUE
"2576","Sudeste","MG","Formiga",31,NA,NA,NA,2021-05-11,19,67683,7676,53,121,1,NA,NA,FALSE
"2577","Sudeste","MG","Formoso",31,NA,NA,NA,2021-05-11,19,9562,199,1,4,0,NA,NA,FALSE
"2578","Sudeste","MG","Fortaleza de Minas",31,NA,NA,NA,2021-05-11,19,4412,124,0,4,0,NA,NA,FALSE
"2579","Sudeste","MG","Fortuna de Minas",31,NA,NA,NA,2021-05-11,19,2947,71,0,0,0,NA,NA,FALSE
"2580","Sudeste","MG","Francisco Badaró",31,NA,NA,NA,2021-05-11,19,10332,121,0,2,0,NA,NA,FALSE
"2581","Sudeste","MG","Francisco Dumont",31,NA,NA,NA,2021-05-11,19,5215,136,0,5,0,NA,NA,FALSE
"2582","Sudeste","MG","Francisco Sá",31,NA,NA,NA,2021-05-11,19,26277,773,0,30,2,NA,NA,FALSE
"2583","Sudeste","MG","Franciscópolis",31,NA,NA,NA,2021-05-11,19,5391,180,0,2,0,NA,NA,FALSE
"2584","Sudeste","MG","Frei Gaspar",31,NA,NA,NA,2021-05-11,19,5880,384,0,9,0,NA,NA,FALSE
"2585","Sudeste","MG","Frei Inocêncio",31,NA,NA,NA,2021-05-11,19,9611,620,2,19,0,NA,NA,FALSE
